Tweets,Location,Sentiment
"RT @mytwitsuper: #FirstHand #PressFreedom
Police Mocks ""Black Lives Matter"" Movement and Harasses Reporter

#Jun12 #PoliceState #FailedStat…",Hong Kong,-0.16666666666666666
"RT @DanielPlatzman: The incredible Steve Jablonsky wrote a beautiful and inspiring composition in support of #BlackLivesMatter 
❤️❤️❤️",Dancing in Hell's Kitchen,0.75
"Thanks @JoeNeate1 and the team for coming out again to state your commitment to #BlackLivesMatter.

Ghost ships and… https://t.co/C06jmO3Wct",https://discord.gg/AwKZB7C,0.2
RT @demosisto: Really shocking when #HKpolice openly mocked #BlackLivesMatter and #ICantBreathe on camera. They are the ones who will work…,not given,-0.5
RT @lovingday: Today is Loving Day. It took nearly nine years for the Lovings to win their case. But the fight against systemic racism isn’…,"Illinois, USA",0.5
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…","Toronto, Ontario",-0.15555555555555559
"RT @IfraJan_: To all the Kashmirs tweeting #blacklivesmatter , Gujjars &amp; Bakerwals are the Blacks of Kashmir. I do not not any community th…",Delhi,0.0
"RT @kylekotajarvi: A masterpiece was created in the Capitol Hill Autonomous Zone today 

#BlackLivesMatter #CHAZ https://t.co/augbcA6Cqg",not given,0.4
"RT @Twitch: #GeorgeFloyd
#BreonnaTaylor
#AhmaudArbery
#TonyMcDade

#BlackLivesMatter https://t.co/9pvnWiuQNM",Yo mommas house,0.0
RT @InvictosSomos: Los mensajes del AC Milan y Juventus en la previa de la semifinal de la Coppa Italia. Se unen contra el racismo. #BlackL…,Guatemala,0.0
RT @Dahlia_pdf: #BlackLivesMatter all the time.,"Palm Beach, FL",0.0
"RT @_candyclover: และอีโมจิหน้าเมมเบอร์ @BTS_twt อีก 7 แบบทางแฮชแท็กชื่อเมมเบอร์ในภาษาเกาหลีและภาษาอังกฤษ ได้แก่ #RM, #진, #JIN, #슈가, #SUGA,…",BigHit Entertainment,0.0
I actually just had someone tell me that I can't sell #BlackLivesMatter shirts and donate profits because I'm white… https://t.co/ChHF2UIXoD,not given,0.0
"""We will not stop until we get Justice for Breonna Taylor."" 
#BreonnaTaylor #BlackLivesMatter… https://t.co/f2RnzAmIwY","New Jersey, USA",0.0
"RT @Juventusfcar: في كل مكان وكل زمان

لا للعنصرية

#فورزا_يوفي #يوفي_ميلان #ColourWhatColour #NoRacism #BlackLivesMatter https://t.co/7rbZ…",not given,0.0
"RT @elijahdaniel: Breonna’s Law is so great, now lets get her murderers put in jail. #BlackLivesMatter

DO‼️NOT‼️STOP‼️PROTESTING‼️
KEEP BE…",not given,0.35000000000000003
"RT @TamoraPierce: Alrighty folks, this one is a doozy. For the first time ever I'm offering up 5 chances to get your name into one of my bo…","East Providence, RI",0.25
"RT @kylekotajarvi: A masterpiece was created in the Capitol Hill Autonomous Zone today 

#BlackLivesMatter #CHAZ https://t.co/augbcA6Cqg",Somewhere In My Subconscious ,0.4
"RT @MrAndyNgo: The Seattle “Capitol Hill Autonomous Zone” is described by @MayorJenny as “peaceful.” This morning, police chief @carmenbest…",not given,0.325
"RT @stillSHErises: Resistance to white supremacy &amp; its patriarchies/other ‘isms is not new. Movements, orgs, uprisings, spaces, sub-culture…",UK,-0.03409090909090909
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","24, Rome | HCTSW | INFP-T ",0.0
"RT @TamoraPierce: Alrighty folks, this one is a doozy. For the first time ever I'm offering up 5 chances to get your name into one of my bo…",The Capitol Region,0.25
RT @prhdocs: Racial Justice = Reproductive Justice. This is about creating safe and healthy communities. This is about BIPOC being free fro…,not given,0.4666666666666666
RT @leogaskins: Absolutely heartbroken &amp; shaken up to hear about the gruesome murders of black trans women killed this week - Dominique Fel…,"Lyon, France",-0.2916666666666667
RT @SunnyCheungky: HK Police mocks “Black Lives Matter” &amp; “I Can’t Breathe” to praise HKPF’s “professional performance” and harass @BeWater…,not given,-0.033333333333333326
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",houston,0.0
"RT @baddify: SAY THEIR NAMES AND KNOW THEIR STORIES

#BlackLivesMatter (illustrations by me) https://t.co/NbRUPkk4fQ","Manchester, England",0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",not given,-0.15555555555555559
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",🇫🇮|17|she/her|mina,-0.18333333333333335
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",st louis,0.0
SNG is taking part in the general strike today -- turning the day over to participation in the marches and/or suppo… https://t.co/VltzWDT4fL,Seattle,0.05000000000000002
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…","Charleston, SC",-0.18333333333333335
"@vigil4democracy @jilevin People in #pain, naturally #segregate themselves to self #protect #Survive… https://t.co/4ynN7VuqgN","Toledo, Ohio 43612",0.1
RT @cemeteryfIowers: I have not seen one thing about this. There are no news articles. Dominique “Rem’mie” Fells was found Tuesday in Phila…,"Houston, TX",0.0
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",Portugal,0.0
RT @KarambaDiaby: Im Dessauer Stadtpark fand gestern anlässlich des 20. Jahrestages der Ermordung von #Adriano eine stille Gedenkveranstalt…,USA,0.0
"RT @ravavyr: Miami PD is getting applauded. 
Notice how they're not using tear gas, batons, rubber bullets? These cops weren't total pricks…",not given,0.0
RT @LPLdirect: 🇺🇸 FLASH - Une vidéo datant de l'année dernière a été récemment dévoilée. Elle montre l' #interpellation de Derrick #Scott à…,"Paris, France",0.0
RT @cemeteryfIowers: I have not seen one thing about this. There are no news articles. Dominique “Rem’mie” Fells was found Tuesday in Phila…,not given,0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",California,-0.15555555555555559
"RT @DrGJackBrown: ""I think the concept of chokeholds sounds so innocent, so perfect.""

Donald Trump
12 June 2020

FACT: This is the languag…",not given,0.75
RT @UsherKomugisha: Players’ names will be replaced with #BlackLivesMatter on the back of their shirts for the first 12 matches when the Pr…,Uganda ,0.125
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,The Boot ,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,"Uxbridge, MA",0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",not given,-0.15555555555555559
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",• 22 • she/her • bi • ,0.0
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…","Simi Valley, CA",-0.18333333333333335
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…","Houston, TX",0.0
"Ladies and gentlemen..... 👇 this is a classic text book example of what an ignorant, entitled, racist, white privil… https://t.co/g5r2plAQLn","London, England",0.08333333333333333
RT @BasedPoland: Absolute madness as #BlackLivesMatter mob attacks police officers in Miami https://t.co/qwDVoTS232,🇩🇪,0.2
"RT @CapaMagMoments: Pakistanlı sanatçının, polis şiddetiyle öldürülen #GeorgeFloyd’un anısına resmettiği eser: 🎨

#BlackLivesMatter

 https…",Germany / Ludwigshafen,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,ACAB,0.0
"1 of 5. #TheColorofLaw by Richard Rothstein — A poignant argument on how federal, state, and local governments gave… https://t.co/COwM8GF4CP","Irvine, CA",0.0
"Every American deserves help when they need it. We can show that #BlackLivesMatter by resisting racist stereotypes,… https://t.co/dYnWi6ZpsZ",United States,0.0
"RT @ChalecosAmarill: 🎥🛑En #EEUU 🇺🇸 manifestantes derribaron una estatua de Cristóbal Colón frente al Capitolio del Estado en St. Paul, Minn…",Italia,0.0
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…","Austin, TX",0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,"Phoenix, AZ to Chicago, IL",0.0
"RT @fernandinho: We, the Players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring a…",York,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",not given,0.0
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,Mars,0.0
RT @SholaMos1: Govt protects statue of dead Racist #WhiteSupremacist British Hero i.e Winston Churchill better than one Black British life…,not given,0.026666666666666665
"RT @Danwhite1972: This week we have learnt rightly that:

#BlackLivesMatter 
#carerslivesmatter 

But the sad fact is both of us will still…","Fareham, England",-0.10714285714285715
"RT @HKGlobalConnect: The #HKPolice kneed a Pakistani to death just a little over a month ago, exactly like what happened to George Floyd.…",not given,0.03125
"RT @lihkg_forum: A Hong Kong police mocked the protestors who support #BlackLivesMatter

Source: BeWater HK Facebook

相關討論 - 有香港警察嘲笑 Black…",香港,0.0
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,not given,0.0
RT @ChalecosAmarill: 🎥😡 Esto es #EEUU 🇺🇸 un país q impide las manifestaciones pacíficas y protege la violencia tanto policial como las q bu…,not given,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",Nashville Cashville ,0.0
RT @kpmunii: Nah we cant allow this to happen forget about what happened on the tl focus on what matters now. #BlackLivesMatter https://t.c…,not given,0.0
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",United States,0.0
"RT @afuahirsch: I'm still getting racist abuse for this piece despite saying nothing for time, so I might as well repost it

Racism is atta…",England,0.0
"RT @ReigntgeWeim: @CBSNews Again if we do not disband the police unions nothing will ever change.

#blacklivesmatter",not given,0.0
"RT @SCLN: Thank you @AMJ_Calwellness, our former Visionaries honoree and LLA Speaker, for sharing your raw and personal experience regardin…",not given,-0.07692307692307693
"@Feanyx Ya know, I wish to anything I could say I was surprised, but I'm not, unfortunately. I am deeply saddened,… https://t.co/8pJei9i6Fe","DeKalb, IL",0.05
"RT @JoshuaPotash: It’s not just the U.S. that refuses to stop protesting for Black Lives.

This is the #BlackLivesMatter protest in London…","Basildon, Essex",-0.16666666666666666
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",🍒19🍒she/her🍒lesbo🍒,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",not given,0.0
RT @SunnyCheungky: HK Police mocks “Black Lives Matter” &amp; “I Can’t Breathe” to praise HKPF’s “professional performance” and harass @BeWater…,Norway,-0.033333333333333326
"RT @flywithkamala: This beautiful Black girl was walking through a park with her mom when a patrol car pulled up. Fearful, she  immediately…","San Francisco, CA",-0.07222222222222223
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,pfp by @crueldude100,0.0
"RT @JoshuaPotash: It’s not just the U.S. that refuses to stop protesting for Black Lives.

This is the #BlackLivesMatter protest in London…",NJ,-0.16666666666666666
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Los Angeles, CA",0.0
RT @ChalecosAmarill: 🎥😡 Esto es #EEUU 🇺🇸 un país q impide las manifestaciones pacíficas y protege la violencia tanto policial como las q bu…,Unión Latinocaribeña=GRANDEZA ,0.0
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,lily • she/her • 22,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,"Buffalo, NY ",0.0
"RT @baddify: SAY THEIR NAMES AND KNOW THEIR STORIES

#BlackLivesMatter (illustrations by me) https://t.co/NbRUPkk4fQ",not given,0.0
"RT @TayAndersonCO: BREAKING: 

The Denver School Board has voted 7-0 to END the contract with the Denver Police Department! — WE DID IT!…",not given,0.0
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",Neverland,-0.18333333333333335
"RT @SadiqKhan: Language matters - and politicians leading with words like ""thuggery"" shows a lack of emotional intelligence.

The Prime Min…",European Union,0.0
"RT @kylekotajarvi: A masterpiece was created in the Capitol Hill Autonomous Zone today 

#BlackLivesMatter #CHAZ https://t.co/augbcA6Cqg",not given,0.4
RT @RealPaigeWWE: Everyone needs to watch 13th on Netflix. It’s an extreme eye opener for the uneducated and to give you a better understan…,not given,0.125
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",not given,-0.18333333333333335
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",not given,-0.15555555555555559
RT @JHenderson: #BlackLivesMatter #PlayersTogether https://t.co/aFXNw9eIVF,"Rivers, Nigeria",0.0
"#BlackLivesMatter Plaza celebrates black humanity &amp; manifests our constant cry for peace, justice &amp; equity

It was… https://t.co/2mhvnpFc8Z",Washington DC,-0.08333333333333333
RT @InvictosSomos: Los mensajes del AC Milan y Juventus en la previa de la semifinal de la Coppa Italia. Se unen contra el racismo. #BlackL…,Paraguay,0.0
"RT @SadiqKhan: Language matters - and politicians leading with words like ""thuggery"" shows a lack of emotional intelligence.

The Prime Min…",Deutschland + Hong Kong ,0.0
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,"Ohio, USA",0.0
"RT @Sha_Elise24: #SayHerName: A Thread.

This is a thread featuring some of the Black Women who lost their lives during the #BlackLivesMatt…",Canada,-0.16666666666666666
"RT @RedGga: Share this video pls

.

#love #racialjustice #justiceforgeorgefloyd #protest #georgefloyd #icantbreathe #humanrights #antiraci…",not given,0.5
RT @CNOEngland: There is no place for inequity in nursing and midwifery. #BlackLivesMatter #teamCNO,cambridge,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","North Tulsa, OK",0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",⚢,0.0
"Gotta hang together with this and not let up.

#BlackLivesMatter https://t.co/B16istYIrR",Whiterun,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Miami, FL ",0.0
RT @cemeteryfIowers: I have not seen one thing about this. There are no news articles. Dominique “Rem’mie” Fells was found Tuesday in Phila…,not given,0.0
"RT @oli_mcburnie: We, the Players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring…","Sheffield, England",0.0
RT @thedaintyheart: Finished! I’m so glad that I was able to do this for the community! This was amazing opportunity! #BlackLivesMatter #dr…,Texas,0.625
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Atlanta, GA",0.0
"RT @codepink: Note how ""non-lethal"" or ""less lethal"" doesn't mean ""non-injurious."" Countless people have lost an eye or ended up in intensi…",Cyberspace,-0.1597222222222222
RT @kpmunii: Nah we cant allow this to happen forget about what happened on the tl focus on what matters now. #BlackLivesMatter https://t.c…,MINORITY GANG,0.0
"RT @flywithkamala: This beautiful Black girl was walking through a park with her mom when a patrol car pulled up. Fearful, she  immediately…",not given,-0.07222222222222223
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…","Tacoma, WA",-0.15555555555555559
RT @hbcuhive: Hey #BlackTwitter since we’re promoting #BlackOwnedBusiness for #Blacklivesmatter &amp; #JUNETEENTH can we support the original b…,the sip ,0.375
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",EST 19XX ,0.0
RT @PennWomensLax: #BlackLivesMatter https://t.co/1i37IHvu8D,"Philadelphia, PA",0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…","Halifax, Nova Scotia",-0.15555555555555559
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
RT @lovingday: Today is Loving Day. It took nearly nine years for the Lovings to win their case. But the fight against systemic racism isn’…,"New York, NY",0.5
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",Georgian,-0.18333333333333335
"RT @TayAndersonCO: BREAKING: 

The Denver School Board has voted 7-0 to END the contract with the Denver Police Department! — WE DID IT!…","Toronto, Ontario",0.0
"RT @MayorBowser: Black Lives Matter Plaza is a place for healing and strategizing, protest and redress.

Thank you to the artists, DPW empl…",not given,-0.16666666666666666
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",not given,-0.15555555555555559
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
RT @InvictosSomos: Los mensajes del AC Milan y Juventus en la previa de la semifinal de la Coppa Italia. Se unen contra el racismo. #BlackL…,not given,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",♐️,0.0
"Inch by inch, step by step we, in unity, will transform this country and rid it of hatred
#EndRacism #HATE… https://t.co/z5xDR9b9yt",third stone from the sun,0.0
RT @PoliticalTwtWar: Isn't this great news from #BlackLivesMatter? Lock &amp; load White America! To all those who support Black Lives Matter..…,Rowlett Tx,0.21111111111111114
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",Sverige,0.0
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",scorpio| teen | gen z|,-0.18333333333333335
"RT @m4gobrrr: #blackoutuesday #BlackLivesMatter #SpainDoesNotSupportTrump #stopracism Hola, he creado esta bandera que también incluye a la…","Valencia, España",0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",Suckfest Convention,0.0
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",not given,-0.18333333333333335
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…","Swansea, UK",0.0
"RT @aNuChallenger: Here is Nuchallenger LLC's statement on the games industry and its collectively empty showing of ""solidarity"" and ""suppo…",My cathedral is the badlands,-0.1
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",not given,0.0
RT @pleasantlytwstd: Y'all really praising Dave Chappelle like he cares about LGBTQ people?  Y'all really just forgot this man is LOUDLY ho…,"Vista, CA",0.16666666666666666
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",not given,-0.15555555555555559
"RT @JoshuaPotash: I don't know why these images have disappeared from our TLs, but the #BlackLivesMatter protests have not stopped.

Dozens…",KST (GMT +9),0.0
"RT @JoshuaPotash: If anyone is worried about the movement losing momentum, this is Portland today. #BlackLivesMatter https://t.co/OAjxSUKt0U","Riverside, CA",0.0
"RT @blackveilbrides: https://t.co/qFqOFV6QHf 
#blacklivesmatter https://t.co/g52upMMFb6",not given,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
RT @David_Ornstein: Premier League clubs also agreed a #BlackLivesMatter badge will be displayed on the front of matchday shirts alongside…,not given,0.0
"RT @kylekotajarvi: A masterpiece was created in the Capitol Hill Autonomous Zone today 

#BlackLivesMatter #CHAZ https://t.co/augbcA6Cqg","Boston, MA",0.4
"RT @DrGJackBrown: ""I think the concept of chokeholds sounds so innocent, so perfect.""

Donald Trump
12 June 2020

FACT: This is the languag…","Nevada, USA",0.75
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…",not given,0.0
RT @AveryAdamsPNW: Beautiful #BlackLivesMatter painting in #chazseattle ♥️♥️ https://t.co/GgCTIyNSFJ,"Munich, Germany",0.85
RT @Charalanahzard: Just about to go live on https://t.co/RWE0k5gGE3 to raise some money for #BlackLivesMatter! The team has already raised…,"Naples, Florida",0.17045454545454544
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",not given,-0.18333333333333335
RT @ClevverTV: @skaijackson is pledging to use her platform for good! #BlackLivesMatter https://t.co/zW5PN70Ygh,Chile,0.875
RT @lovingday: Today is Loving Day. It took nearly nine years for the Lovings to win their case. But the fight against systemic racism isn’…,Betwixt the Now & the Not Yet,0.5
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…","Columbus,OH",-0.18333333333333335
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Dubai, United Arab Emirates",0.0
RT @InvictosSomos: Los mensajes del AC Milan y Juventus en la previa de la semifinal de la Coppa Italia. Se unen contra el racismo. #BlackL…,not given,0.0
RT @SimoneGJohnson: #BlackLivesMatter is NOT trend. this is why we can’t let this just become another phase in 2020. keep going &amp; keep dema…,not given,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,"Scotland, United Kingdom",0.0
"RT @in_pubs: I’m a Veteran, I’m ashamed to say it, but some other Veterans unfollowed me because I said #BlackLivesMatter Who can help me g…","Portland, OR",-0.0625
"RT @RaquelWillis_: Two Black trans women have been reported dead this week. Dominique “Rem’mie” Fells of Philadelphia, PA and Riah Milton o…",California,-0.18333333333333335
RT @taradublinrocks: This breaks my heart. Another beautiful young black man taken from us in such an ugly way. Racism is a blight on this…,not given,0.016666666666666673
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",Pocket's Apartment,-0.15555555555555559
"🙏🏻 #BlackLivesMatter 

[credit to the Owner] https://t.co/GSp4e9jAGd",Hawkins/Germany,0.0
"RT @Scott_Wiener: The community showing up to paint #BlackLivesMatter on Fulton Street

Book-ended by City Hall &amp; the African American Art…","Los Angeles, CA",0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…","New York, USA",-0.15555555555555559
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",🇨🇦,-0.15555555555555559
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
Retweet this relevant to EVERY voter in NY ! #blm #blacklivesmatter #vote https://t.co/AHXnOAyUzz,"Miami, FL",0.5
"RT @flywithkamala: This beautiful Black girl was walking through a park with her mom when a patrol car pulled up. Fearful, she  immediately…",not given,-0.07222222222222223
"RT @JustBella: Boom!! 👇🏼💥

Over #onemillion people sign petition calling for #KKK to be declared a #terroristgroup https://t.co/prvbVsOBSX…",South Alabama,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,#blacklivesmatter,0.0
"""Una didascalia non basta"" #blacklivesmatter #italia #italy https://t.co/2TzEAjfXD5",not given,0.0
RT @sahbabiistan: don’t stop. #blacklivesmatter #boston https://t.co/tonMZjuZYi,Nashville - Boston - Despair,0.0
"RT @HarryMaguire93: This symbol is a sign of unity from all Players, all Staff, all Clubs, all Match Officials and the Premier League #blac…",not given,0.0
