X,Y,NAME,ADDRESS,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE
-8227598.0498,4991579.5444,ALLIANCE FOR YOUTH P.S 291& PS/MS 15,2195 ANDREWS AVE,10453,CENTER BASED,BRONX,40.859089000000004,-73.909767
-8227052.1643,5277007.0592,ALTERNATIVE LIVING GROUP @ WOODLAWN ELEMENTARY,3311 WELLS AVENUE,12304,CENTER BASED,SCHENECTADY,42.769855,-73.90486899999999
-8232011.8902,5283989.5228,YWCA OF SCHENECTADY,78 WASHINGTON AVENUE,12305,CENTER BASED,SCHENECTADY,42.815884000000004,-73.949425
-8231679.4067,5289106.9883,SCOTIA HEAD START,30 WORDEN ROAD,12302,HEAD START,SCHENECTADY,42.849598,-73.946434
-8226095.1479,5295818.0298,CLOVER PATCH DAY CARE CENTER,55 HELPING HAND LN,12302,CENTER BASED,SARATOGA,42.89378,-73.896271
-8228652.6019,5025545.0756,NYACK CENTER SACC,58 DEPEW AVENUE,10960,CENTER BASED,ROCKLAND,41.089455,-73.91924300000001
-8779019.17,5297154.6577,BUFFALO CITY MISSION,150 EAST NORTH STREET,14203,CENTER BASED,ERIE,42.902576,-78.863274
-8771434.3052,5303615.4351,"KIDS CAPITAL DAYCARE, INC.",1657 KENSINGTON AVE.,14215,CENTER BASED,ERIE,42.945076,-78.795135
-8790346.0395,5316396.7309,JUST FOR KIDS,2451 BASELINE ROAD,14072,CENTER BASED,ERIE,43.029064,-78.965019
-8234432.3099,4950190.1179,KINGS BAY Y @ PS 100,2951 W 3RD ST,11224,CENTER BASED,KINGS,40.577286,-73.971161
-8176939.9843,5574639.7338,LITTLE SAINTS PRESCHOOL,23 ELM STREET,12901,CENTER BASED,CLINTON,44.701431,-73.454704
-8215795.9225,4971142.9623,UNITED CEREBRAL PALSY OF QUEENS,81-15 164 STREET,11432,CENTER BASED,QUEENS,40.720096999999996,-73.803749
-8232899.3033,4961540.7128,THE DAVID FOSTER PRESCHOOL ACADEMY,72 CLARKSON AVE.,11226,CENTER BASED,KINGS,40.654686,-73.95739
-8232126.1697,4966748.9258,THE SALVATION ARMY BEDFORD DCC,110 KOSCIUSZKO STREET,11216,CENTER BASED,KINGS,40.69017,-73.950447
-8636772.1191,5344357.6816,"SUNSHINE DAYCARE, INC.",2400 OAKVIEW DRIVE,14617,CENTER BASED,MONROE,43.212402000000004,-77.585442
-8202853.1673,5271141.5223,ECO KIDS: A NATURAL CHILDCARE CENTER,500 BROADWAY,12180,CENTER BASED,RENSSELAER,42.731167,-73.687485
-8524831.4655,5300465.1372,BOOKER T. WASHINGTON COMMUNITY CENTER OF AUBURN,242 W. GENESEE ST,13021,CENTER BASED,CAYUGA,42.924355,-76.579865
-8213552.4514,5094605.9858,ACORNS TO OAKS II INC.,2603 ROUTE 52,12533,CENTER BASED,DUTCHESS,41.555363,-73.7836
-8226777.9149,5164832.9842,BARD COLLEGE NURSERY SCHOOL,1500 ANNANDALE RD,12504,CENTER BASED,DUTCHESS,42.025719,-73.902405
-8226332.8987,5092291.9494,KIDS PLACE,738 ROUTE 9,12524,CENTER BASED,DUTCHESS,41.539806,-73.89840699999999
-8234659.3176,5087790.2414,ASTOR EARLY CHILDHOOD PROGRAM,29 WILLOW STREET,12508,HEAD START,DUTCHESS,41.509529,-73.973206
-8209712.9264,5275895.6039,KIDDIE ACADEMY OF ALBANY II,1 JOHNSON RD.,12110,CENTER BASED,ALBANY,42.762527,-73.749107
-8216513.2114,5009618.9043,CHILDREN'S CORNER LEARNING CENTER,10 ALKAMONT AVE.,10583,CENTER BASED,WESTCHESTER,40.981537,-73.81019599999999
-8224825.9944,5043104.6719,HOLY NAME OF MARY MONTESSORI SCHOOL,110 GRAND STREET,10520,SCHOOL BASED,WESTCHESTER,41.208233,-73.884872
-8178932.4193,4963652.012,FAIRFIELD ELEMENTARY SCHOOL,330 MASSEPEQUA AVENUE,11758,SCHOOL BASED,NASSAU,40.669075,-73.472603
-8705461.8108,5347748.8049,"LITTLE LEAPERS CHILD CARE CENTER, INC.",305 ALLEN ROAD,14411,CENTER BASED,ORLEANS,43.2346,-78.202492
-8167213.2599,5620179.9715,"CHAMPLAIN CHILDREN'S LEARNING CENTER, INC.",10 CLINTON STREET,12979,CENTER BASED,CLINTON,44.991478,-73.367325
-8222040.4468,5129869.8102,HEALTHY KIDS EXTENDED DAY PROGRAM,648 NETHERWOOD ROAD,12538,SCHOOL BASED,DUTCHESS,41.791981,-73.859848
-8406916.6435,5249101.4067,FAMILY ENRICHMENT NETWORK,6678 COUNTY ROAD 32,13815,SCHOOL BASED,CHENANGO,42.585564,-75.520615
-8214532.949,5323782.4448,COMMUNITY ROOTS PRESCHOOL,48 BEEKMAN STREET,12866,CENTER BASED,SARATOGA,43.077545,-73.792404
-8238306.4508,5024998.8948,"NANUET FAMILY RESOURCE CENTER, INC.",50 BLAUVELT ROAD,10954,CENTER BASED,ROCKLAND,41.085754,-74.005966
-8820975.7087,5175605.8804,YMCA YOUTH AND CHILD CARE,101 EAST FOURTH STREET,14701,CENTER BASED,CHAUTAUQUA,42.097569,-79.240173
-8196942.1318,5265432.6014,JACK & JILL PRESCHOOL AND DAY CARE CENTER,401 MAIN AVE.,12198,CENTER BASED,RENSSELAER,42.693481,-73.634384
-8237104.089,4956741.9501,ONE WORLD AFTER SCHOOL @ IS 227,6500 16TH AVE.,11204,CENTER BASED,KINGS,40.621975,-73.995163
-8242150.0191,5080844.0946,GROVE KIDS DAYCARE,539 BLOOMING GROVE TURNPIKE,12553,CENTER BASED,ORANGE,41.462788,-74.040497
-8185134.8128,4981733.6492,SCOPE @ JERICHO / GEORGE JACKSON,58 MAYTIME DRIVE,11753,CENTER BASED,NASSAU,40.792159999999996,-73.52832
-8214353.168,4967318.3101,GOODWILL @ PS 40,109-20 UNION HALL ST,11433,CENTER BASED,QUEENS,40.69405,-73.790787
-8261446.322000001,4945021.2955,UAU-UNITED ACTIVITIES UNLIMITED INC. P.S. 56,250 KRAMER AVENUE,10309,CENTER BASED,RICHMOND,40.542010999999995,-74.213837
-8227629.7438,5097871.548,KIDZ TOWN OF DUTCHESS,"1299 ROUTE 9, SUITE 103-104",12590,CENTER BASED,DUTCHESS,41.577312,-73.910057
-8178017.8183,5234156.8095,"BEE HAPPY KIDS, INC.",1478 STATE ROUTE 20,12125,CENTER BASED,COLUMBIA,42.486641,-73.464386
-8777463.1462,5294425.228,YMCA BUFFALO NIAGARA,585 WILLIAM STREET,14206,CENTER BASED,ERIE,42.884613,-78.84929699999999
-8756528.4027,5282308.3661,"EDUKIDS, INC.",6961 SENECA STREET,14059,CENTER BASED,ERIE,42.804806,-78.661232
-8204878.9888,5251323.471,GREENBUSH CHILD CARING @ GENET SCHOOL,29 ENGLEWOOD AVENUE,12061,SCHOOL BASED,RENSSELAER,42.600258000000004,-73.70568100000001
-8225963.0117,4992573.483,GOOD SHEPHERD AFTER SCHOOL PROGRAM AT P.S. 246,2641 GRAND CONCOURSE,10468,CENTER BASED,BRONX,40.865840999999996,-73.895081
-8213981.6949,5257562.2609,ST. MATTHEW LUTHERAN SCHOOL,75 WHITEHALL ROAD,12209,SCHOOL BASED,ALBANY,42.641498999999996,-73.787453
-8229895.7067,5268499.3441,GUILDERLAND MARTIAL ARTS,2563 WESTERN AVE,12084,CENTER BASED,ALBANY,42.71373,-73.930412
-8204135.4859,5044483.094,"COUNTRY CHILDRENS CENTER, INC.",80 WEST PATENT ROAD,10507,CENTER BASED,WESTCHESTER,41.217548,-73.699005
-8698301.2959,5314542.8784,"GENESEE COMMUNITY COLLEGE ASSOCIATION, INC.",1 COLLEGE ROAD,14020,CENTER BASED,GENESEE,43.016888,-78.13816800000001
-8181748.6911,4971608.1669,ISLAND TREES DCC,45 WANTAGH AVE S,11756,CENTER BASED,NASSAU,40.723263,-73.497902
-8196452.9939,4993131.0947,"LA FUERZA UNIDA, INC.",1 DOSORIS LN. & FOREST AVE.,11542,CENTER BASED,NASSAU,40.869628999999996,-73.62999
-8177140.3981,4969346.8436,"FARMINGDALE CARE, INC.",101 ALBANY AVENUE,11758,CENTER BASED,NASSAU,40.707867,-73.456505
-8207628.6916,4958033.2458,GAN AMI INC.,508 PENINSULA BLVD,11516,CENTER BASED,NASSAU,40.630779,-73.730385
-8204928.2839,4980588.9878,ADVENTURES IN LEARNING,65 HIGH STREET,11030,CENTER BASED,NASSAU,40.784374,-73.706123
-8447011.1264,5460930.2505,"BENCHMARK FAMILY SERVICES, INC.",1635 OHIO STREET,13601,CENTER BASED,JEFFERSON,43.970837,-75.880791
-8239315.227999999,4957416.3244,HEARTSHARE MCKINLEY BEACON CENTER,7301 FT. HAMILTON PKWY,11228,CENTER BASED,KINGS,40.626571999999996,-74.01503000000001
-8274974.3118,5072152.8459,INSPIRE KIDS,2 FLETCHER STREET,10924,CENTER BASED,ORANGE,41.404251,-74.335358
-8109977.7871,4983521.6125,COLONIAL YOUTH AND FAMILY SERVICES,2 VAN BUREN STREET,11950,CENTER BASED,SUFFOLK,40.804321,-72.853172
-8169691.7883,4990580.7383,Y.M.C.A,78 WHITSON ROAD,11746,CENTER BASED,SUFFOLK,40.852303000000006,-73.389587
-8160169.9644,4991448.9356,SCOPE DAY CARE @ CEDAR ROAD,178 CEDAR ROAD,11731,CENTER BASED,SUFFOLK,40.858204,-73.30405400000001
-8167515.2696,4964544.6796,"SUPERKIDS CHRISTIAN DAYCARE, INC",315 W. MONTAUK HIGHWAY,11757,CENTER BASED,SUFFOLK,40.675156,-73.370041
-8235059.7065,4976143.4048,CHILDREN FIRST/ BRIGHT HORIZONS @PARK AVE.,200 PARK AVE.,10166,CENTER BASED,NEW YORK,40.754131,-73.976799
-8231772.2193,4982876.758,SCAN NY@ KINGS TOWERS,2 WEST 115TH STREET,10026,CENTER BASED,NEW YORK,40.799934,-73.947266
-8470866.0028,5318521.919,CHILDTIME LEARNING CENTERS,3217 E GENESEE ST,13214,CENTER BASED,ONONDAGA,43.043018,-76.095085
-8480854.7007,5334735.3432,NORTH AREA FAMILY YMCA SWEETHEART DAY CARE,4775 WETZEL RD.,13090,CENTER BASED,ONONDAGA,43.149372,-76.184814
-8377632.1813,5310353.2109,YMCA OF THE GREATER TRI-VALLEY,2601 SULPHUR SPRINGS ROAD,13456,CENTER BASED,ONEIDA,42.989365,-75.257553
-8372527.7004,5324058.9073,"MVCAA, INC. - ND PETERS HEAD START",1600 ARMORY DRIVE,13501,HEAD START,ONEIDA,43.079357,-75.21169300000001
-8169874.4691,5577459.329,JOINT COUNCIL FOR ECONOMIC OPPORTUNITY INC.,1187 CUMBERLAND HEAD ROAD,12901,CENTER BASED,CLINTON,44.719433,-73.391228
-8172882.8729,5441988.9376,TICONDEROGA TOTS,178 MONTCALM STREET,12883,CENTER BASED,ESSEX,43.848251,-73.41825899999999
-8345404.3817,5569082.1381,SUNY POTSDAM CHILD CARE CENTER INC,185 OUTER MAIN ST,13676,CENTER BASED,ST LAWRENCE,44.665936,-74.96804
-8291812.7206,5502813.2392,CHILDREN'S CORNER PRESCHOOL,12 MOHAWK ST.,12986,CENTER BASED,FRANKLIN,44.240997,-74.486618
-8221880.2529,4965395.779,UP THE LADDER,80-11 101 AVENUE,11416,CENTER BASED,QUEENS,40.680954,-73.858406
-8225221.6338,4976146.3771,GARDEN SCHOOL,33-16 79 STREET,11372,SCHOOL BASED,QUEENS,40.75415,-73.88842
-8214813.3843,4980389.1201,YAI NYL CLEARVIEW SCHOOL,16-50 UTOPIA PARKWAY,11357,SCHOOL BASED,QUEENS,40.783015999999996,-73.794922
-8211269.1429,4969365.2512,KIDDIE WORLD NURSERY & KINDERGARTEN,100-55 195 STREET,11423,CENTER BASED,QUEENS,40.707989000000005,-73.76308399999999
-8217797.8356,4972233.4486,POSITIVE BEGINNINGS INC. #2,71-25 MAIN STREET,11367,CENTER BASED,QUEENS,40.72752,-73.821732
-8209468.0184,4967742.3780000005,NEW GENERATION DAY CARE INC.,116-20 FRANCIS LEWIS BOULEVARD,11411,CENTER BASED,QUEENS,40.696938,-73.746902
-8218592.9758,4966635.3748,MATILDA RAFFA CUOMO FIRST STEP CHILDHOOD CENTER P/S,115-15 101 AVENUE,11419,CENTER BASED,QUEENS,40.6894,-73.82888
-8208238.8575,4964394.8938,LITTLE FLOWERS EC II,234-08 MERRICK BOULEVARD,11422,CENTER BASED,QUEENS,40.674137,-73.735863
-8212077.0081,4964760.9245,ROCHDALE VILLAGE NURSERY SCHOOL,170-30 130 AVENUE,11434,SCHOOL BASED,QUEENS,40.676628,-73.77034
-8777448.452,5280394.0441,WEE-FOLK CHILD CARE CENTER,3556 LAKESHORE RD.,14219,CENTER BASED,ERIE,42.792187,-78.849159
-8775168.5175,5301710.4418,"THE COMMUNITY ACTION ORGANIZATION OF WESTERN NEW YORK, INC.",453 LEROY AVENUE,14215,CENTER BASED,ERIE,42.932549,-78.828682
-8226556.2333,4984939.7068,ACHIEVEMENT LAB LLC,660 FOX STREET,10455,CENTER BASED,BRONX,40.813961,-73.900414
-8226194.0009,4989851.5739,SHARON BAPTIST HEAD START,1925 BATHGATE AVENUE,10457,HEAD START,BRONX,40.847347,-73.89715600000001
-8228662.8062,4984764.343,LITTLE ANGELS/ST. PUIS HS,413 EAST 144 STREET,10454,CENTER BASED,BRONX,40.812771000000005,-73.91933399999999
-8191739.7267,4976170.7381,"SPANISH ALL YEAR, CORP.",154 POST AVENUE,11590,CENTER BASED,NASSAU,40.754318,-73.58764599999999
-8191521.8744,4960796.8151,"HI-HELLO CHILD DAY CARE CENTER, INC.",212 SOUTH OCEAN AVENUE,11520,CENTER BASED,NASSAU,40.649615999999995,-73.585693
-8643008.6822,5336855.2485,"GRANT AT PLAY, LLC",190 MURRAY ST.,14606,CENTER BASED,MONROE,43.163261,-77.641464
-8229858.7798,4955521.5778,BERGEN BASIN @ FILLMORE ACADEMY,4011 FILLMORE AVENUE,11234,CENTER BASED,KINGS,40.613655,-73.930077
-8233795.0698,4960593.075,THE CHILDREN'S CENTER FOR EARLY LEARNING,83 MARLBOROUGH ROAD,11226,CENTER BASED,KINGS,40.648228,-73.965439
-8258550.3455,5095047.4657,"SCHOOL TIME CHILDREN'S CENTER, INC.",70 SCOFIELD STREET,12586,CENTER BASED,ORANGE,41.558331,-74.18782
-8155330.0155,4972795.3617,GREAT SOUTH BAY YMCA,217 FIFTH AVE,11706,CENTER BASED,SUFFOLK,40.731342,-73.260574
-8231769.5476,4981829.0523,GIRLS INCORPORATED OF NEW YORK @ THE YOUNG WOMEN'S LEADERSHIP,105 EAST 106TH STREET,10029,CENTER BASED,NEW YORK,40.792809000000005,-73.947243
-8232756.9515,4984462.8676,KIPP S.T.A.R COLLEGE PREP CHARTER SCHOOL @ PS 125,433 WEST 123RD STREET,10027,CENTER BASED,NEW YORK,40.810719,-73.95611600000001
-8484748.4231,5334623.4845,"BEFORE & AFTER SCHOOL CARE ON LOCATION, INC.",4246 WETZEL ROAD,13090,CENTER BASED,ONONDAGA,43.14864,-76.21979499999999
-8233616.2586,4964708.8292,EDUCARE CHILD CENTER INC.,720 WASHINGTON AVENUE,11238,CENTER BASED,KINGS,40.676272999999995,-73.963837
-8218249.374,4976583.3639,A RUM NURSERY SCHOOL,140-30 SANFORD AVENUE,11355,SCHOOL BASED,QUEENS,40.757126,-73.82579
-8213400.4958,4965737.1827,"AUNTY JEAN'S PLACE, INC. @ PACCOR KID'S",118-17 GUY BREWER BLVD,11434,CENTER BASED,QUEENS,40.683281,-73.782234
-8216603.3802,4971007.1329,"THE LITTLE CHILDREN'S GARDEN, INC.",15030 UNION TURNPIKE,11367,CENTER BASED,QUEENS,40.71917,-73.81100500000001
-8368269.062000001,5155787.4601,DELAWARE OPPORTUNITIES,244 SOUTH MAIN STREET,13774,HEAD START,DELAWARE,41.965328,-75.173439
-8783758.2634,5304841.9948,LITTLE FEET ACADEMY LEARNING CENTER LLC,902 TONAWANDA STREET,14207,CENTER BASED,ERIE,42.953140000000005,-78.905846
-8818826.686,5172614.9941,JEFF ADVANTAGE AFTER SCHOOL PROGRAM,195 MARTIN ROAD,14701,CENTER BASED,CHAUTAUQUA,42.077628999999995,-79.220871
-8821108.1789,5177391.8004,"CHAUTAUQUA OPPORTUNITIES, INC.",1135 N MAIN ST,14701,CENTER BASED,CHAUTAUQUA,42.10947,-79.241364
-8548806.536,5173749.9022,YWCA KIDS WORLD AT RIVERSIDE SCHOOL,409 RIVERSIDE AVE.,14904,SCHOOL BASED,CHEMUNG,42.085196999999994,-76.79523499999999
-8228247.9556,4988812.2039,NEW SETTLEMENT APTS / CES 64 ASP,1425 WALTON AVENUE,10452,CENTER BASED,BRONX,40.840286,-73.915611
-8226807.8153,4987747.2354,1332 FULTON AVENUE DAY CARE CENTER INC.,1332 FULTON AVENUE,10456,CENTER BASED,BRONX,40.833046,-73.902672
-8221036.8193,4992735.1634,I9 SPORTS,2750 THROOP AVENUE,10469,CENTER BASED,BRONX,40.86694,-73.85083
-8227146.2188,4985673.9336,GOOD SHEPHERD SERVICES,778 FOREST AVENUE,10456,CENTER BASED,BRONX,40.818954,-73.90570799999999
-8452522.6011,5175848.1613,"BOYS AND GIRLS CLUB OF BINGHAMTON, INC.",30 COLLEGE STREET,13905,CENTER BASED,BROOME,42.099182,-75.930305
-8174468.5077,4964266.3911,BERNER MIDDLE SCHOOL,50 CARMAN MILL ROAD,11758,SCHOOL BASED,NASSAU,40.67326,-73.432503
-8203114.2409,4969793.8676,"GATEWAY YOUTH OUTREACH, INC.",144 COVERT AVENUE,11003,CENTER BASED,NASSAU,40.710910999999996,-73.68982700000001
-8196484.386,4994743.4608,YMCA PRESCHOOL,125 DOSORIS LANE,11542,CENTER BASED,NASSAU,40.880581,-73.63027199999999
-8642571.4192,5336246.9396,"SUNSHINE VILLAGE CHILDCARE CENTER, INC",635 JAY STREET,14611,CENTER BASED,MONROE,43.159279,-77.63754300000001
-8448792.0156,5463298.8046,"WATERTOWN FAMILY YMCA, INC.",430 E. HOARD ST.,13601,CENTER BASED,JEFFERSON,43.986149,-75.89679
-8235391.3273,4950360.7196,YWCA-NYC AFTER SCHOOL @ PS 90,2840 WEST 12TH STREET,11224,CENTER BASED,KINGS,40.578449,-73.979782
-8235273.7739,4952412.2769,FIAO BEACON @ MARLBOROHOUSING,2298 WEST 8TH STREET,11223,CENTER BASED,KINGS,40.592445,-73.97872199999999
-8231805.7265,4967851.4293,GOOD SHEPHERD SERVICES @ P.S. 297,700 PARK AVENUE,11206,CENTER BASED,KINGS,40.697681,-73.947571
-8231239.1103,4964464.9791,NEW YORK JUNIOR TENNIS LEAGUE @ P.S. 289K,900 ST. MARKS AVENUE,11213,CENTER BASED,KINGS,40.674614,-73.942482
-8231206.605,4967062.6992,BRIGHTSIDE ACADEMY-DEKALB,844 DEKALB AVE,11221,CENTER BASED,KINGS,40.69231,-73.942184
-8260537.267999999,5089016.9199,HEATHERS CHILDS PLACE LTD,2130 RT 208,12549,CENTER BASED,ORANGE,41.51778,-74.20566600000001
-8248529.8102,5092387.4332,BUILDING BLOCKS CHILD CARE CENTER,248 LAKESIDE ROAD,12550,CENTER BASED,ORANGE,41.540447,-74.097801
-8238882.9744,5087266.5288,GLEN HINES BOYS AND GIRLS CLUB,285 LIBERTY STREET,12550,CENTER BASED,ORANGE,41.506008,-74.011147
-8268245.3826,5067587.6814,"YOUNG MEN'S CHRISTIAN ASSOCIATION OF MIDDLETOWN, N.Y.",2 HERBERT DRIVE,10918,CENTER BASED,ORANGE,41.373486,-74.27490999999999
-8519760.0935,5380726.3596,"CHILDREN'S CENTER OF OSWEGO, INC.",131 SHELDON HALL,13126,CENTER BASED,OSWEGO,43.450047,-76.534309
-8518730.1579,5381011.8115,FIRST STEP UNIVERSAL PRE K,1 BUCCANEER BOULEVARD,13126,CENTER BASED,OSWEGO,43.451908,-76.52505500000001
-8232295.9775,5074263.3716,THE NEST CHILD CARE,44 CHESTNUT STREET,10516,CENTER BASED,PUTNAM,41.418471999999994,-73.951973
-8492955.4633,5234581.9084,"TOMPKINS COMMUNITY ACTION, INC",29 UNION STREET,13053,CENTER BASED,TOMPKINS,42.489456,-76.293518
-8577445.2298,5182113.6577,GREAT BEGINNINGS BIG KIDS,64 EAST FIRST STREET,14830,CENTER BASED,STEUBEN,42.14093,-77.052498
-8121496.5714,4983952.9608,HABITOTS CHILD CARE MEDFORD,703 PATCHOGUE YAPHANK ROAD,11763,CENTER BASED,SUFFOLK,40.807255,-72.956642
-8125768.4568,5006284.1128,"THE NORTH SHORE YOUTH COUNCIL, INC.",197 NORTH COUNTRY RD,11764,CENTER BASED,SUFFOLK,40.95892,-72.995018
-8126395.6309,5004028.1485,KIDS OF MILLER PLACE LLC,43 ECHO AVENUE,11764,CENTER BASED,SUFFOLK,40.943611,-73.000656
-8162295.2761,4971483.1687,NORTH BABYLON ALMOST HOME PROGRAM,794 DEER PARK AVE,11703,CENTER BASED,SUFFOLK,40.722412,-73.323143
-8236146.964,4971321.452,HENRY STREET SETTLEMENT ASP @PS 20,166 ESSEX STREET,10002,CENTER BASED,NEW YORK,40.721309999999995,-73.986565
-8234852.0304,4972040.7173,UNIVERSITY SETTLEMENT @ MS 034,730 EAST 12TH STREET,10009,CENTER BASED,NEW YORK,40.726208,-73.974937
-8458018.5317,5312468.896000001,SONSHINE CHILD CARE CENTER,107 PLEASANT ST.,13104,CENTER BASED,ONONDAGA,43.003265,-75.979675
-8479643.4333,5329114.4032,"BEFORE & AFTER SCHOOL CHILD CARE ON LOCATION, INC.",299 DONLIN DRIVE,13088,CENTER BASED,ONONDAGA,43.112522,-76.173935
-8468426.1022,5318804.1665,JEWISH COMMUNITY CENTER AFTERSCHOOL PROGRAM,5655 THOMPSON RD.,13214,CENTER BASED,ONONDAGA,43.044872,-76.073166
-8477106.796,5318268.9241,"UPSTATE DAY CARE CENTER, INC.",650 SOUTH SALINA STREET,13202,CENTER BASED,ONONDAGA,43.041354999999996,-76.151146
